Email,Birthday,Newsletter Override,Participation,Note
dana.hawkins@heliosschool.org,08-20,,,
grace.kim@heliosschool.org,09-03,,,
bill.ryder@heliosschool.org,09-15,,,
ruth.amari@heliosschool.org,09-17,,,
miguel.santos@heliosschool.org,09-14,,,
alice.fontaine@heliosschool.org,10-05,,,
peter.okafor@heliosschool.org,11-11,,,
susan.byrne@heliosschool.org,12-24,,,
hana.ito@heliosschool.org,02-29,,,
marcus.bell@heliosschool.org,03-14,,,
lena.vogel@heliosschool.org,05-30,,,
tom.grady@heliosschool.org,06-20,,,
ivy.chen@heliosschool.org,07-04,,,
raj.malhotra@heliosschool.org,08-13,,,
kate.doyle@heliosschool.org,10-10,2026-10-23,,
omar.farouk@heliosschool.org,09-10,,No Newsletter,Asked to be kept out of the newsletter
former.teacher@heliosschool.org,04-01,,,
hank.morrow@heliosschool.org,,,Skip,Prefers not to take part
