Date,Party Title,Event Code,Purchaser Email,Guest Name,Action,Quantity,Cost,Invoice,Invoice To
2025-08-10,Wines of the Southern Hemisphere!,SC-2025,jordan.whitfield@heliosschool.org,Jordan Whitfield,ADD,1,150,INV-1108,Jordan Whitfield
2025-08-11,Wines of the Southern Hemisphere!,SC-2025,jordan.whitfield@heliosschool.org,Robin Whitfield,ADD,1,150,INV-1109,Jordan Whitfield
2025-08-12,Wines of the Southern Hemisphere!,SC-2025,colin.quinn@heliosschool.org,Colin Quinn,ADD,1,150,INV-1110,Colin Quinn
2025-08-13,Wines of the Southern Hemisphere!,SC-2025,dana.hawkins@heliosschool.org,Dana Hawkins,ADD,1,150,INV-1111,Dana Hawkins
2025-08-14,Wines of the Southern Hemisphere!,SC-2025,asha.chandra@heliosschool.org,Asha Chandra,ADD,1,150,INV-1112,Asha Chandra
2025-08-15,Wines of the Southern Hemisphere!,SC-2025,abena.osei@heliosschool.org,Abena Osei,ADD,1,150,INV-1113,Abena Osei
2025-08-20,Splash into the New Year,SC-2025,jordan.whitfield@heliosschool.org,Sam Whitfield,ADD,1,45,INV-1114,Jordan Whitfield
2025-08-20,Splash into the New Year,SC-2025,jordan.whitfield@heliosschool.org,Ella Whitfield,ADD,1,45,INV-1115,Jordan Whitfield
2025-08-20,Splash into the New Year,SC-2025,elena.torres@heliosschool.org,Nico Torres,ADD,1,45,INV-1116,Elena Torres
2025-08-20,Splash into the New Year,SC-2025,mina.park@heliosschool.org,Owen Park,ADD,1,45,INV-1117,Mina Park
2026-06-10,For the Love of Helios & the Vine,SC-2026,colin.quinn@heliosschool.org,Colin Quinn,ADD,1,150,,
2026-06-11,For the Love of Helios & the Vine,SC-2026,dana.hawkins@heliosschool.org,Dana Hawkins,ADD,1,150,INV-1087,Dana Hawkins
2026-06-12,For the Love of Helios & the Vine,SC-2026,jordan.whitfield@heliosschool.org,Jordan Whitfield,ADD,1,150,,
2026-06-13,For the Love of Helios & the Vine,SC-2026,jordan.whitfield@heliosschool.org,Robin Whitfield,ADD,1,150,,
2026-06-14,For the Love of Helios & the Vine,SC-2026,elena.torres@heliosschool.org,Elena Torres,ADD,1,150,INV-1090,Elena Torres
2026-06-15,For the Love of Helios & the Vine,SC-2026,elena.torres@heliosschool.org,Marco Torres,ADD,1,150,,
2026-06-16,For the Love of Helios & the Vine,SC-2026,sofia.marchetti@heliosschool.org,Sofia Marchetti,ADD,1,150,,
2026-06-17,For the Love of Helios & the Vine,SC-2026,sofia.marchetti@heliosschool.org,Paolo Marchetti,ADD,1,150,INV-1093,Sofia Marchetti
2026-06-18,For the Love of Helios & the Vine,SC-2026,asha.chandra@heliosschool.org,Asha Chandra,ADD,1,150,,
2026-06-19,For the Love of Helios & the Vine,SC-2026,abena.osei@heliosschool.org,Abena Osei,ADD,1,150,,
2026-08-21,Baegels and Meimosas,SC-2026,freja.lindqvist@heliosschool.org,Freja Lindqvist,ADD,1,50,,
2026-08-21,Baegels and Meimosas,SC-2026,deepa.natarajan@heliosschool.org,Deepa Natarajan,ADD,1,50,,
2026-08-21,Fruity Drinks for Grownups,SC-2026,abena.osei@heliosschool.org,Abena Osei,ADD,1,125,INV-1069,Abena Osei
2026-08-21,Fruity Drinks for Grownups,SC-2026,sofia.marchetti@heliosschool.org,Sofia Marchetti,ADD,1,125,,
2026-08-21,Wurst Helios Party,SC-2026,sofia.marchetti@heliosschool.org,Sofia Marchetti,ADD,1,75,INV-1036,Sofia Marchetti
2026-08-21,Wurst Helios Party,SC-2026,sofia.marchetti@heliosschool.org,Paolo Marchetti,ADD,1,75,,
2026-08-22,Baegels and Meimosas,SC-2026,freja.lindqvist@heliosschool.org,Anders Lindqvist,ADD,1,50,,
2026-08-22,Baegels and Meimosas,SC-2026,deepa.natarajan@heliosschool.org,Karthik Natarajan,ADD,1,50,INV-1054,Deepa Natarajan
2026-08-22,Fondue & Fort Night,SC-2026,jordan.whitfield@heliosschool.org,Jordan Whitfield,ADD,1,65,,
2026-08-22,Fondue & Fort Night,SC-2026,jordan.whitfield@heliosschool.org,Robin Whitfield,ADD,1,65,,
2026-08-22,Fondue & Fort Night,SC-2026,jordan.whitfield@heliosschool.org,Sam Whitfield,ADD,1,65,INV-1003,Jordan Whitfield
2026-08-22,Fondue & Fort Night,SC-2026,jordan.whitfield@heliosschool.org,Ella Whitfield,ADD,1,65,,
2026-08-22,Fondue & Fort Night,SC-2026,jordan.whitfield@heliosschool.org,"Zander Whitfield (cousin, age 8)",ADD,1,65,,
2026-08-22,Fruity Drinks for Grownups,SC-2026,asha.chandra@heliosschool.org,Asha Chandra,ADD,1,125,,
2026-08-22,Fruity Drinks for Grownups,SC-2026,sofia.marchetti@heliosschool.org,Paolo Marchetti,ADD,1,125,,
2026-08-22,Sushi & Sake Soirée,SC-2026,elena.torres@heliosschool.org,Elena Torres,ADD,1,300,INV-1057,Elena Torres
2026-08-22,Sushi & Sake Soirée,SC-2026,freja.lindqvist@heliosschool.org,Freja Lindqvist,ADD,1,300,INV-1063,Freja Lindqvist
2026-08-23,Baegels and Meimosas,SC-2026,sofia.marchetti@heliosschool.org,Sofia Marchetti,ADD,1,50,INV-1051,Sofia Marchetti
2026-08-23,Baegels and Meimosas,SC-2026,layla.haddad@heliosschool.org,Layla Haddad,ADD,1,50,,
2026-08-23,Dink & Clink,SC-2026,elena.torres@heliosschool.org,Elena Torres,ADD,1,75,,
2026-08-23,Dink & Clink,SC-2026,sofia.marchetti@heliosschool.org,Paolo Marchetti,ADD,1,75,,
2026-08-23,Dink & Clink,SC-2026,abena.osei@heliosschool.org,Abena Osei,ADD,1,75,INV-1027,Abena Osei
2026-08-23,Fondue & Fort Night,SC-2026,elena.torres@heliosschool.org,Elena Torres,ADD,1,65,INV-1006,Elena Torres
2026-08-23,Fondue & Fort Night,SC-2026,elena.torres@heliosschool.org,Marco Torres,ADD,1,65,,
2026-08-23,Fondue & Fort Night,SC-2026,elena.torres@heliosschool.org,Nico Torres,ADD,1,65,,
2026-08-23,Fondue & Fort Night,SC-2026,deepa.natarajan@heliosschool.org,Deepa Natarajan,ADD,1,65,INV-1009,Deepa Natarajan
2026-08-23,Fondue & Fort Night,SC-2026,deepa.natarajan@heliosschool.org,Priya Natarajan,ADD,1,65,,
2026-08-23,Fruity Drinks for Grownups,SC-2026,carmen.alvarez@heliosschool.org,Carmen Alvarez,ADD,1,125,,
