Ticket ID,Party ID,Email,Name,Purchaser,Status,Price,Note,Invoice,Added By,Added
T001,P001,jordan.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,65,,,jordan.whitfield@heliosschool.org,2026-08-22 19:04
T002,P001,robin.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,65,,,jordan.whitfield@heliosschool.org,2026-08-22 19:04
T003,P001,sam.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,65,,,jordan.whitfield@heliosschool.org,2026-08-22 19:04
T004,P001,ella.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,65,,,jordan.whitfield@heliosschool.org,2026-08-22 19:04
T005,P001,,"Zander Whitfield (cousin, age 8)",jordan.whitfield@heliosschool.org,Ticket,65,Cousin visiting that weekend,,jordan.whitfield@heliosschool.org,2026-08-22 19:06
T006,P001,elena.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,65,,,elena.torres@heliosschool.org,2026-08-23 08:11
T007,P001,marco.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,65,,,elena.torres@heliosschool.org,2026-08-23 08:11
T008,P001,nico.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,65,,,elena.torres@heliosschool.org,2026-08-23 08:11
T009,P001,deepa.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,65,,,deepa.natarajan@heliosschool.org,2026-08-23 12:40
T010,P001,priya.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,65,,,deepa.natarajan@heliosschool.org,2026-08-23 12:40
T011,P001,mina.park@heliosschool.org,,mina.park@heliosschool.org,Ticket,65,,,mina.park@heliosschool.org,2026-08-24 21:15
T012,P001,owen.park@heliosschool.org,,mina.park@heliosschool.org,Ticket,65,,,mina.park@heliosschool.org,2026-08-24 21:15
T013,P001,layla.haddad@heliosschool.org,,layla.haddad@heliosschool.org,Ticket,65,,,layla.haddad@heliosschool.org,2026-08-25 07:30
T014,P001,noor.haddad@heliosschool.org,,layla.haddad@heliosschool.org,Ticket,65,,,layla.haddad@heliosschool.org,2026-08-25 07:30
T015,P001,,Ken Bartolome,layla.haddad@heliosschool.org,Ticket,65,,,layla.haddad@heliosschool.org,2026-08-25 07:31
T016,P001,dana.hawkins@heliosschool.org,,dana.hawkins@heliosschool.org,Ticket,65,,,dana.hawkins@heliosschool.org,2026-08-26 16:00
T017,P002,elena.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,75,,,elena.torres@heliosschool.org,2026-08-23 10:10
T018,P002,marco.torres@heliosschool.org,,elena.torres@heliosschool.org,Ticket,75,,,elena.torres@heliosschool.org,2026-08-24 10:11
T019,P002,deepa.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,75,,,deepa.natarajan@heliosschool.org,2026-08-25 10:12
T020,P002,karthik.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,75,,,deepa.natarajan@heliosschool.org,2026-08-26 10:13
T021,P002,sofia.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,75,,,sofia.marchetti@heliosschool.org,2026-08-27 10:14
T022,P002,paolo.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,75,,,sofia.marchetti@heliosschool.org,2026-08-23 10:15
T023,P002,asha.chandra@heliosschool.org,,asha.chandra@heliosschool.org,Ticket,75,,,asha.chandra@heliosschool.org,2026-08-24 10:16
T024,P002,carmen.alvarez@heliosschool.org,,carmen.alvarez@heliosschool.org,Ticket,75,,,carmen.alvarez@heliosschool.org,2026-08-25 10:17
T025,P002,freja.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,75,,,freja.lindqvist@heliosschool.org,2026-08-26 10:18
T026,P002,anders.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,75,,,freja.lindqvist@heliosschool.org,2026-08-27 10:19
T027,P002,abena.osei@heliosschool.org,,abena.osei@heliosschool.org,Ticket,75,,,abena.osei@heliosschool.org,2026-08-23 10:20
T028,P002,colin.quinn@heliosschool.org,,colin.quinn@heliosschool.org,Ticket,75,,,colin.quinn@heliosschool.org,2026-08-24 10:21
T029,P002,dana.hawkins@heliosschool.org,,dana.hawkins@heliosschool.org,Ticket,75,,,dana.hawkins@heliosschool.org,2026-08-25 10:22
T030,P002,jordan.whitfield@heliosschool.org,,jordan.whitfield@heliosschool.org,Ticket,75,,,jordan.whitfield@heliosschool.org,2026-08-26 10:23
T031,P003,priya.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,50,,,deepa.natarajan@heliosschool.org,2026-08-28 09:00
T032,P003,deepa.natarajan@heliosschool.org,,deepa.natarajan@heliosschool.org,Ticket,50,,,deepa.natarajan@heliosschool.org,2026-08-28 09:00
T033,P003,ella.whitfield@heliosschool.org,,robin.whitfield@heliosschool.org,Ticket,50,,,robin.whitfield@heliosschool.org,2026-08-29 18:20
T034,P003,harper.quinn@heliosschool.org,,colin.quinn@heliosschool.org,Ticket,50,,,colin.quinn@heliosschool.org,2026-08-30 11:00
T035,P003,colin.quinn@heliosschool.org,,colin.quinn@heliosschool.org,Ticket,50,,,colin.quinn@heliosschool.org,2026-08-30 11:00
T036,P004,sofia.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,75,,,sofia.marchetti@heliosschool.org,2026-08-21 20:00
T037,P004,paolo.marchetti@heliosschool.org,,sofia.marchetti@heliosschool.org,Ticket,75,,,sofia.marchetti@heliosschool.org,2026-08-21 20:00
T038,P004,freja.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,75,,,freja.lindqvist@heliosschool.org,2026-08-27 20:00
T039,P004,anders.lindqvist@heliosschool.org,,freja.lindqvist@heliosschool.org,Ticket,75,,,freja.lindqvist@heliosschool.org,2026-08-27 20:00
T040,P004,abena.osei@heliosschool.org,,abena.osei@heliosschool.org,Ticket,75,,,abena.osei@heliosschool.org,2026-09-01 13:00
