Email,Added,Full Name,Legal Name,Preferred Name,Is Student,Is Parent,Is Staff,New to Helios,Pronouns,Facts,Grade,Classroom,Crew,Phone,Job Title,Department,Grade Band,Room Parent,Address,Family Phone,Family Photo Caption,Opted Out,Photo Updated,Facts Updated,Family Photo Updated
dana.hawkins@heliosschool.org,,,,,,,,,she/her,,,,,,,Co-Curriculars and Specialists,,,,,,,,,
jordan.whitfield@heliosschool.org,,,,,,,,,they/them,,,,,,,,,Jayvens,,,,,,,2024-03-15
asha.chandra@heliosschool.org,,,,,,,,,,,,,,,,,,Cospreys,,,,,,,
harper.quinn@heliosschool.org,,,,,,,,,she/her,"Plays goalie in the coastside soccer league, and is building a solar-powered go-kart.",,,,,,,,,,,,,,2026-05-04,
owen.park@heliosschool.org,,,,,,,,,,Can name every bird on the bluff trail. Future marine biologist.,,,,,,,,,,,,,,2024-09-12,
felix.osei@heliosschool.org,,,,,,,,,he/him,,,,,,,,,,,,,,,,
noor.haddad@heliosschool.org,,,,,,,,TRUE,,,,,,,,,,,,,,,,,
layla.haddad@heliosschool.org,,,,,,,,TRUE,,,,,,,,,,,,,,,,,
colin.quinn@heliosschool.org,,,,,,,,,,,,,,-,,,,,,,,,,,
elena.torres@heliosschool.org,,,,,,,,,,,,,,,,,,,,,"Marco, Mia, and Elena at Mavericks Beach.",,,,
deepa.natarajan@heliosschool.org,,,,,,,,,,,,,,,,,,,,650-555-0199,,,,,
ella.whitfield@heliosschool.org,,,,,,,,,,"Building a tide-pool guide for the Fitzgerald reserve, and learning bass guitar.",,,,,,,,,,,,,,2024-06-02,
sam.whitfield@heliosschool.org,,,,,,,,,,Skateboards at the Half Moon Bay park and is learning to make ramen from scratch.,,,,,,,,,,,,,,2026-08-01,
grace.kim@heliosschool.org,,,,,,,,,she/her,,,,,,,Admin and Office Staff,,,,,,,,,
bill.ryder@heliosschool.org,,,,,,,,,,,,,,,,Admin and Office Staff,,,,,,,,,
ruth.amari@heliosschool.org,,,,,,,,,,"Twelve years teaching kindergarten, keeper of the class worm farm.",,Hummingbirds,,,,Classroom Teachers,Hummingbirds,,,,,,,,
miguel.santos@heliosschool.org,,,,,,,,,,,,Hawks,,,,Classroom Teachers,Halcons,,,,,,,,
alice.fontaine@heliosschool.org,,,,,,,,,,,,Falcons,,,,Classroom Teachers,Halcons,,,,,,,,
peter.okafor@heliosschool.org,,,,,,,,,,,,Jays,,,,Classroom Teachers,Jayvens,,,,,,,,
susan.byrne@heliosschool.org,,,,,,,,,,,,Ravens,,,,Classroom Teachers,Jayvens,,,,,,,,
hana.ito@heliosschool.org,,,,,,,,,,,,Condors,Pinnacles,,,Classroom Teachers,Cospreys,,,,,,,,
marcus.bell@heliosschool.org,,,,,,,,,,,,Condors,Big Sur,,,Classroom Teachers,Cospreys,,,,,,,,
lena.vogel@heliosschool.org,,,,,,,,,,,,Ospreys,River,,,Classroom Teachers,Cospreys,,,,,,,,
tom.grady@heliosschool.org,,,,,,,,,,,,Ospreys,Sea,,,Classroom Teachers,Cospreys,,,,,,,,
ivy.chen@heliosschool.org,,,,,,,,,she/her,,,Egrets,Snowy,,,Classroom Teachers,Hegrets,,,,,,,,
raj.malhotra@heliosschool.org,,,,,,,,,,,,Egrets,Great,,,Classroom Teachers,Hegrets,,,,,,,,
kate.doyle@heliosschool.org,,,,,,,,,,,,Herons,Great Blue,,,Classroom Teachers,Hegrets,,,,,,,,
omar.farouk@heliosschool.org,,,,,,,,,he/him,,,Herons,Green,,,Classroom Teachers,Hegrets,,,,,,,,
noa.adler@heliosschool.org,TRUE,Noa Adler,,,,,TRUE,,,,,,,,Music Teacher,Co-Curriculars and Specialists,,,,,,,,,
hank.morrow@heliosschool.org,,,,,,,,,,,,,,,,Facilities Staff,,,,,,,,,
