entry_sort_name,student_full_name,student_classifications,student_email,student_phone_mobile,household_1_phone,household_1_address,household_1_person_1_full_name,household_1_person_1_email,household_1_person_1_email_2,household_1_person_1_phone_mobile,household_1_person_1_phone_business,household_1_person_2_full_name,household_1_person_2_email,household_1_person_2_email_2,household_1_person_2_phone_mobile,household_1_person_2_phone_business,household_2_phone,household_2_address,household_2_person_1_full_name,household_2_person_1_email,household_2_person_1_email_2,household_2_person_1_phone_mobile,household_2_person_1_phone_business,household_2_person_2_full_name,household_2_person_2_email,household_2_person_2_email_2,household_2_person_2_phone_mobile,household_2_person_2_phone_business,student_photo
"Torres, Mia",Mia Torres,"{""grade_level"": ""Kindergarten"", ""homeroom"": ""Hummingbirds""}",,,650-555-0141,"214 Alder Ln, Half Moon Bay, CA 94019",Elena Torres,elena.torres@heliosschool.org,,650-555-0142,,Marco Torres,marco.torres@heliosschool.org,,650-555-0143,,,,,,,,,,,,,,
"Baxter, Leo",Leo (Leonardo) Baxter,"{""grade_level"": ""Grade 1"", ""homeroom"": ""Hawks""}",leo.baxter@heliosschool.org,,,"88 Cypress Ave, El Granada, CA 94018",April Baxter,April.Baxter@heliosschool.org,,650-555-0151,,,,,,,,,,,,,,,,,,,
"Natarajan, Priya",Priya Natarajan,"{""grade_level"": ""Grade 2"", ""homeroom"": ""Falcons""}",priya.natarajan@heliosschool.org,,,"402 Seabreeze Ct, Half Moon Bay, CA 94019",Deepa Natarajan,deepa.natarajan@heliosschool.org,,650-555-0128,,Karthik Natarajan,karthik.natarajan@heliosschool.org,,,650-555-0129,,,,,,,,,,,,,
"Whitfield, Sam",Sam Whitfield,"{""grade_level"": ""Grade 3"", ""homeroom"": ""Jays""}",,,650-555-0176,"17 Pelican Point Rd, Moss Beach, CA 94038",Jordan Whitfield,jordan.whitfield@heliosschool.org,,650-555-0177,,Robin Whitfield,robin.whitfield@heliosschool.org,,650-555-0178,,,,,,,,,,,,,,
"Haddad, Noor",Noor Haddad,"{""grade_level"": ""Grade 4"", ""homeroom"": ""Ravens""}",noor.haddad@heliosschool.org,,,"Pacifica, CA",Layla Haddad,layla.haddad@heliosschool.org,,650-555-0134,,,,,,,,,,,,,,,,,,,
"Park, Owen",Owen Park,"{""grade_level"": ""Grade 5"", ""homeroom"": ""Pinnacles Condors""}",owen.park@heliosschool.org,,,"590 Coral Reef Ave, Half Moon Bay, CA 94019",Mina Park,mina.park@heliosschool.org,,650-555-0111,,Daniel Park,daniel.park@heliosschool.org,,650-555-0112,,,,,,,,,,,,,,
"Marchetti, Lucia",Lucia Marchetti,"{""grade_level"": ""Grade 5"", ""homeroom"": ""Big Sur Condors""}",lucia.marchetti@heliosschool.org,,,"31 Miramar Dr, Half Moon Bay, CA 94019",Sofia Marchetti,sofia.marchetti@heliosschool.org,,650-555-0117,,Paolo Marchetti,paolo.marchetti@heliosschool.org,,650-555-0118,,,,,,,,,,,,,,
"Whitfield, Ella",Ella Whitfield,"{""grade_level"": ""Grade 6"", ""homeroom"": ""River Ospreys""}",ella.whitfield@heliosschool.org,,650-555-0176,"17 Pelican Point Rd, Moss Beach, CA 94038",Jordan Whitfield,jordan.whitfield@heliosschool.org,,650-555-0177,,Robin Whitfield,robin.whitfield@heliosschool.org,,650-555-0178,,,,,,,,,,,,,,
"Chandra, Dev",Dev Chandra,"{""grade_level"": ""Grade 6"", ""homeroom"": ""Sea Ospreys""}",dev.chandra@heliosschool.org,,650-555-0120,"76 Kelp Hollow Rd, Montara, CA 94037",Asha Chandra,asha.chandra@heliosschool.org,,650-555-0121,,,,,,,,"1109 Palmetto Ave, Pacifica, CA 94044",Rohan Chandra,rohan.chandra@heliosschool.org,,650-555-0122,,,,,,,
"Quinn, Harper",Harper Quinn,"{""grade_level"": ""Grade 7"", ""homeroom"": ""Snowy Egrets""}",harper.quinn@heliosschool.org,650-555-0303,,"9 Spindrift Way, El Granada, CA 94018",Dana (Dana) Hawkins,dana.hawkins@heliosschool.org,,650-555-0160,,Colin Quinn,colin.quinn@heliosschool.org,,650-555-0161,,,,,,,,,,,,,,
"Alvarez, Mateo",Mateo Alvarez,"{""grade_level"": ""Grade 7"", ""homeroom"": ""Great Egrets""}",mateo.alvarez@heliosschool.org,650-555-0304,,"245 Le Conte Ave, Pacifica, CA 94044",Carmen Alvarez,carmen.alvarez@heliosschool.org,,650-555-0166,,,,,,,,,,,,,,,,,,,
"Lindqvist, Zoe",Zoe Lindqvist,"{""grade_level"": ""Grade 8"", ""homeroom"": ""Great Blue Herons""}",zoe.lindqvist@heliosschool.org,650-555-0305,,"630 Etheldore St, Moss Beach, CA 94038",Freja Lindqvist,freja.lindqvist@heliosschool.org,,650-555-0171,,Anders Lindqvist,anders.lindqvist@heliosschool.org,,650-555-0172,,,,,,,,,,,,,,
"Osei, Felix",Felix Osei,"{""grade_level"": ""Grade 8"", ""homeroom"": ""Green Herons""}",felix.osei@heliosschool.org,650-555-0306,,,Abena Osei,abena.osei@heliosschool.org,,650-555-0181,,,,,,,,,,,,,,,,,,,
