Year,Activity,Parent,Title,Group,Status,Description,Image,Start,End,Spots,Co-Leader Needed,Volunteers Hidden,Added By,Added
2026 - 2027,International Night,,Set Up Crew,Event Support,Open,"Set up from 12:30pm on, or earlier",,2026-09-24 12:30,2026-09-24 16:00,4,No,No,jordan.whitfield@heliosschool.org,2026-08-27
2026 - 2027,International Night,,Clean Up Crew,Event Support,Open,Help us clean up the event. We need as many people as we can get!,,,,,No,No,jordan.whitfield@heliosschool.org,2026-08-27
2026 - 2027,International Night,,Performance Tech,Event Support,Open,Help with sound for the performances,,,,,Yes,No,jordan.whitfield@heliosschool.org,2026-09-04
2026 - 2027,International Night,,Norway,Place & Culture Booths,Open,Kringla and trolls,,,,,No,No,elena.torres@heliosschool.org,2026-05-27
2026 - 2027,International Night,,India,Place & Culture Booths,Open,,,,,,Yes,No,deepa.natarajan@heliosschool.org,2026-05-27
2026 - 2027,International Night,India,India Performance,,Open,Max of 2 minutes per performance.,,,,,No,No,deepa.natarajan@heliosschool.org,2026-08-27
2026 - 2027,International Night,,Cybertron,Place & Culture Booths,Pending,A booth about Cybertron (planet of the Transformers),,,,,No,No,daniel.park@heliosschool.org,2026-08-30
2026 - 2027,Spring Celebration,,Decor,,Open,What's our theme? How do we make it fit our vibe?,,,,,No,No,jordan.whitfield@heliosschool.org,2026-08-13
2026 - 2027,Spring Celebration,,Childcare,,Open,Order pizza and bring in some activities for the childcare room,,,,,No,No,jordan.whitfield@heliosschool.org,2026-08-13
2026 - 2027,Spring Celebration,,Marketing,,Open,"Flyers, posters, tickets, oh my!",,,,,No,No,jordan.whitfield@heliosschool.org,2026-08-13
2026 - 2027,All School Movie Night,,Tech Setup,,Open,,,,,2,No,No,jordan.whitfield@heliosschool.org,2026-08-11
2026 - 2027,All School Movie Night,,Concessions,,Open,,,,,,No,No,jordan.whitfield@heliosschool.org,2026-08-11
2026 - 2027,Cocoa & Cookies,,Cocoa Table,,Open,Help set up and manage the cocoa table,,,,,No,No,jordan.whitfield@heliosschool.org,2026-08-13
2026 - 2027,Cocoa & Cookies,,Bring a Treat,,Open,"Cookies and treats are potluck-style! Bring a treat to share with the school (nut-free, as always).",,,,,No,No,jordan.whitfield@heliosschool.org,2026-08-13
2026 - 2027,Helios Cares,,Staff Gifts,,Open,Coordinate winter and end-of-year gifts,,,,,No,No,jordan.whitfield@heliosschool.org,2026-08-13
2026 - 2027,Helios Cares,,Community Service,,Open,"Organize community service through the year, such as a backpack drive, mobile pack, beach clean up",,,,,No,No,jordan.whitfield@heliosschool.org,2026-08-13
2026 - 2027,Helios Cares,Community Service,Winter Coat Drive,,Open,Collect gently used coats and jackets for local families in need,,,,,No,No,asha.chandra@heliosschool.org,2026-09-01
2026 - 2027,Room Parents,,Hummingbirds,,Open,Room parent for kindergarten,,,,3,No,Yes,jordan.whitfield@heliosschool.org,2026-04-27
2026 - 2027,Room Parents,,Halcons,,Open,Room parent for 1st and 2nd grade,,,,3,No,Yes,jordan.whitfield@heliosschool.org,2026-04-27
2026 - 2027,Room Parents,,Jayvens,,Open,Room parent for 3rd and 4th grade,,,,3,No,Yes,jordan.whitfield@heliosschool.org,2026-04-27
2026 - 2027,Room Parents,,Cospreys,,Open,Room parent for 5th and 6th grade,,,,3,No,Yes,jordan.whitfield@heliosschool.org,2026-04-27
2026 - 2027,Room Parents,,Hegrets,,Open,Room parent for 7th and 8th grade,,,,3,No,Yes,jordan.whitfield@heliosschool.org,2026-04-27
2025 - 2026,International Night,,Set Up Crew,Event Support,Done,,,,,,No,No,jordan.whitfield@heliosschool.org,2025-10-09
2025 - 2026,International Night,,USA,Place & Culture Booths,Done,,,,,,No,No,jordan.whitfield@heliosschool.org,2025-05-03
