Event ID,Email,Position,Note,Added By,Added
E001,jordan.whitfield@heliosschool.org,Co-Chair,,jordan.whitfield@heliosschool.org,2026-04-29
E001,mina.park@heliosschool.org,Co-Chair,,jordan.whitfield@heliosschool.org,2026-05-02
E016,robin.whitfield@heliosschool.org,Volunteer,,robin.whitfield@heliosschool.org,2026-08-28
E016,marco.torres@heliosschool.org,Volunteer,Can bring a truck,marco.torres@heliosschool.org,2026-09-01
E019,elena.torres@heliosschool.org,Co-Chair,,elena.torres@heliosschool.org,2026-05-27
E019,marco.torres@heliosschool.org,Volunteer,,elena.torres@heliosschool.org,2026-05-27
E020,deepa.natarajan@heliosschool.org,Co-Chair,North India and South India both!,deepa.natarajan@heliosschool.org,2026-05-27
E021,karthik.natarajan@heliosschool.org,Volunteer,Bollywood dance by the kids,deepa.natarajan@heliosschool.org,2026-08-27
E018,jordan.whitfield@heliosschool.org,Co-Chair,,jordan.whitfield@heliosschool.org,2026-09-04
E022,daniel.park@heliosschool.org,Open to Co-Chair,,daniel.park@heliosschool.org,2026-08-30
E002,mina.park@heliosschool.org,Co-Chair,,jordan.whitfield@heliosschool.org,2026-08-13
E002,daniel.park@heliosschool.org,Open to Co-Chair,,daniel.park@heliosschool.org,2026-08-20
E023,sofia.marchetti@heliosschool.org,Volunteer,,sofia.marchetti@heliosschool.org,2026-08-21
E026,jordan.whitfield@heliosschool.org,Volunteer,,jordan.whitfield@heliosschool.org,2026-08-12
E026,paolo.marchetti@heliosschool.org,Volunteer,,paolo.marchetti@heliosschool.org,2026-08-14
E007,layla.haddad@heliosschool.org,Volunteer,,layla.haddad@heliosschool.org,2026-08-15
E008,asha.chandra@heliosschool.org,Co-Chair,,jordan.whitfield@heliosschool.org,2026-04-29
E032,rohan.chandra@heliosschool.org,Volunteer,,rohan.chandra@heliosschool.org,2026-09-02
E009,dana.hawkins@heliosschool.org,Co-Chair,,jordan.whitfield@heliosschool.org,2026-04-27
E037,abena.osei@heliosschool.org,Volunteer,,abena.osei@heliosschool.org,2026-08-16
E033,carmen.alvarez@heliosschool.org,Volunteer,,carmen.alvarez@heliosschool.org,2026-08-17
E035,jordan.whitfield@heliosschool.org,Volunteer,,jordan.whitfield@heliosschool.org,2026-08-18
E010,jordan.whitfield@heliosschool.org,Open to Co-Chair,,jordan.whitfield@heliosschool.org,2026-08-13
E012,elena.torres@heliosschool.org,Open to Co-Chair,,elena.torres@heliosschool.org,2026-08-30
E013,jordan.whitfield@heliosschool.org,Co-Chair,,jordan.whitfield@heliosschool.org,2025-05-03
E039,freja.lindqvist@heliosschool.org,Volunteer,,freja.lindqvist@heliosschool.org,2025-09-11
E038,jordan.whitfield@heliosschool.org,Volunteer,,jordan.whitfield@heliosschool.org,2025-10-10
E014,anders.lindqvist@heliosschool.org,Co-Chair,,jordan.whitfield@heliosschool.org,2025-09-02
E015,asha.chandra@heliosschool.org,Co-Chair,,jordan.whitfield@heliosschool.org,2025-08-16
E002,priya.natarajan@heliosschool.org,Volunteer,,deepa.natarajan@heliosschool.org,2026-09-01
E002,nico.torres@heliosschool.org,Volunteer,,jordan.whitfield@heliosschool.org,2026-09-02
