Timestamp,Email Address,Communication Opt-In Status,You have my permission to share the folllowing:
8/18/2026 9:12:04,elena.torres@heliosschool.org,I agree to have family names and emails in the Helios Community Apps,"Home Address (if provided on Veracross), Adult Phone Number (if provided on Veracross)"
8/18/2026 10:03:41,mina.park@heliosschool.org,I agree to have family names and emails in the Helios Community Apps,Adult Phone Number (if provided on Veracross)
8/18/2026 11:20:19,layla.haddad@heliosschool.org,I agree to have family names and emails in the Helios Community Apps,Home Address (if provided on Veracross)
8/18/2026 12:44:02,dana.hawkins@heliosschool.org,"Please remove all family names and emails from the Helios Community Apps. I understand that we will be unable to access the Helios Who directory, the volunteer portal and Spring Celebration fun(d)raiser events.",
8/18/2026 13:05:10,freja.lindqvist@heliosschool.org,"Please remove all family names and emails from the Helios Community Apps. I understand that we will be unable to access the Helios Who directory, the volunteer portal and Spring Celebration fun(d)raiser events.",
8/18/2026 13:06:55,anders.lindqvist@heliosschool.org,I agree to have family names and emails in the Helios Community Apps,"Home Address (if provided on Veracross), Adult Phone Number (if provided on Veracross)"
8/19/2026 8:15:33,asha.chandra@heliosschool.org,I agree to have family names and emails in the Helios Community Apps,"Home Address (if provided on Veracross), Adult Phone Number (if provided on Veracross)"
8/19/2026 8:41:07,rohan.chandra@heliosschool.org,I agree to have family names and emails in the Helios Community Apps,Adult Phone Number (if provided on Veracross)
8/19/2026 9:27:52,grace.kim@heliosschool.org,I agree to have family names and emails in the Helios Community Apps,Home Address (if provided on Veracross)
8/19/2026 10:14:38,pat.nolan@heliosschool.org,I agree to have family names and emails in the Helios Community Apps,"Home Address (if provided on Veracross), Adult Phone Number (if provided on Veracross)"
